Make,Model,Accident.Number,Event.Id,Aircraft.Category,Engine.Type,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Date,Year,Purpose.of.flight,Weather.Condition,Aircraft.damage,Broad.phase.of.flight,total_accidents,fatality_rate,Safety_Score
Shanks V Roger,Vari Eze,WPR18LA089,20180211X21608,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-11,2018,Personal,VMC,Substantial,,1,0.0,100.0
Oliver Lawrence R,Kitfox Iv 1200,GAA18CA123,20180211X22957,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-11,2018,Instructional,VMC,Substantial,,1,0.0,100.0
Hastings Thomas G,Cirrus Vk 30,WPR18FA088,20180211X53503,Airplane,Reciprocating,1.0,4.0,0.0,0.0,0.0,2018-02-11,2018,Personal,VMC,Substantial,,1,4.0,-300.0
Cessna,180,GAA18CA126,20180212X74820,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-11,2018,,VMC,Substantial,,135,0.0,100.0
Antonov,An148,DCA18WA107,20180321X15750,Airplane,,,71.0,0.0,0.0,0.0,2018-02-11,2018,,,Destroyed,,1,71.0,-7000.0
Cessna,150,GAA18CA235,20180411X81220,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-11,2018,Instructional,VMC,Substantial,,140,0.0,100.0
"Piper Aircraft, Inc.",Pa-28-161,CEN18WA096,20180212X10716,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2018-02-11,2018,,,Destroyed,,1,2.0,-100.0
Hughes,369,GAA18CA127,20180212X32901,Helicopter,Turbo Shaft,1.0,0.0,0.0,0.0,2.0,2018-02-12,2018,Other Work Use,VMC,Substantial,,32,0.0,100.0
Beech,C90,GAA18CA137,20180212X35207,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,2.0,2018-02-12,2018,Instructional,VMC,Substantial,,23,0.0,100.0
Beech Aircraft Co.,F33,CEN18WA104,20180220X25702,Airplane,,,2.0,0.0,0.0,0.0,2018-02-12,2018,,,Destroyed,,1,2.0,-100.0
Cessna,182,CEN18WA110,20180301X24451,Airplane,,,2.0,0.0,0.0,0.0,2018-02-12,2018,,,Substantial,,232,0.008620689655172414,99.13793103448276
Mooney Aircraft Corp.,M20,ANC18FA024,20180213X20952,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-02-13,2018,Personal,VMC,Destroyed,,3,0.3333333333333333,66.66666666666667
Piper,Pa 16,GAA18CA130,20180213X85037,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-13,2018,Personal,VMC,Substantial,,9,0.0,100.0
Boeing,777 222,DCA18IA092,20180213X95634,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,378.0,2018-02-13,2018,,VMC,Minor,,1,0.0,100.0
Airbus,A330,DCA18RA093,20180213X95840,Airplane,Turbo Fan,2.0,0.0,9.0,0.0,135.0,2018-02-13,2018,,,Minor,,24,0.0,100.0
Robinson Helicopter,R22,GAA18CA129,20180214X44852,Helicopter,Reciprocating,1.0,0.0,1.0,0.0,1.0,2018-02-13,2018,Other Work Use,VMC,Substantial,,21,0.0,100.0
Schweizer,269D,CEN18LA106,20180221X55131,Helicopter,Turbo Shaft,1.0,0.0,2.0,0.0,0.0,2018-02-13,2018,Personal,VMC,Substantial,,2,0.0,100.0
Robinson Helicopter,R22,GAA18LA131,20180214X61821,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-14,2018,Instructional,VMC,Substantial,,21,0.0,100.0
Cessna,A188,ERA18WA217,20180813X53624,Airplane,,,1.0,0.0,0.0,0.0,2018-02-14,2018,,Unk,Substantial,,20,0.05,95.0
Harris Pierce,Velocity Xl Rg,GAA18CA148,20180216X04655,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-16,2018,Personal,VMC,Substantial,,2,0.0,100.0
Scheineman-Van Buren,T 18,CEN18LA102,20180216X65946,Airplane,Reciprocating,,0.0,0.0,2.0,0.0,2018-02-16,2018,Instructional,VMC,Substantial,,1,0.0,100.0
Cessna,172,GAA18CA135,20180217X03946,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-17,2018,Personal,VMC,Substantial,,625,0.0,100.0
Cessna,402,GAA18CA139,20180218X93539,Airplane,Reciprocating,2.0,0.0,0.0,0.0,2.0,2018-02-17,2018,Personal,IMC,Substantial,,16,0.0,100.0
Beech,95B55,CEN18WA103,20180220X92338,Airplane,,,3.0,0.0,0.0,0.0,2018-02-17,2018,Personal,,Destroyed,,12,0.25,75.0
Cessna,180,GAA18CA136,20180222X63908,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-17,2018,Personal,VMC,Substantial,,135,0.0,100.0
Black Donald,Cozy Iii,CEN18LA117,20180308X32916,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-17,2018,Personal,VMC,Substantial,,2,0.0,100.0
Socata,Tbm 700,CEN18FA101,20180218X81015,Airplane,Turbo Prop,1.0,2.0,0.0,0.0,0.0,2018-02-18,2018,Personal,IMC,Destroyed,,16,0.125,87.5
Sikorsky,S76,GAA18CA138,20180223X34238,Helicopter,Turbo Shaft,2.0,0.0,0.0,0.0,5.0,2018-02-18,2018,,IMC,Substantial,,15,0.0,100.0
Piper,Pa 22,GAA18CA144,20180228X13242,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-18,2018,Personal,VMC,Substantial,,13,0.0,100.0
Airbus,A320,DCA18WA135,20180416X92153,Airplane,,,0.0,0.0,0.0,0.0,2018-02-18,2018,,,,,70,0.0,100.0
Boeing,737,DCA18WA136,20180416X93719,Airplane,,,0.0,0.0,0.0,174.0,2018-02-18,2018,,,,,395,0.0,100.0
Hughes,369D,WPR18CA100,20180228X03202,Helicopter,Turbo Shaft,,0.0,2.0,0.0,0.0,2018-02-19,2018,Aerial Observation,VMC,Substantial,,25,0.0,100.0
Piper,Pa34,WPR18FA091,20180220X11813,Airplane,Reciprocating,2.0,1.0,0.0,0.0,0.0,2018-02-19,2018,Personal,VMC,Destroyed,,46,0.021739130434782608,97.82608695652173
Cessna,172,WPR18LA092,20180220X20935,Airplane,Reciprocating,1.0,0.0,2.0,0.0,0.0,2018-02-19,2018,Aerial Observation,VMC,Substantial,,625,0.0,100.0
Cessna,P210,GAA18CA174,20180220X63235,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-20,2018,Personal,VMC,Substantial,,24,0.0,100.0
Mcdonnell Douglas,Md83,DCA18WA226,20180620X95913,Airplane,,,0.0,0.0,0.0,0.0,2018-02-20,2018,,,Minor,,1,0.0,100.0
Cirrus Design Corp,Sr22T,WPR18FA093,20180221X04610,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-02-21,2018,Personal,VMC,Substantial,,14,0.07142857142857142,92.85714285714286
Soko,Galeb G 2,WPR18LA094,20180221X43129,Airplane,Turbo Jet,1.0,0.0,0.0,1.0,0.0,2018-02-21,2018,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa28,ERA18FA084,20180221X93251,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-02-21,2018,Personal,VMC,Destroyed,,256,0.00390625,99.609375
Piper,Pa32R,WPR18FA095,20180223X23016,Airplane,Reciprocating,1.0,4.0,0.0,0.0,0.0,2018-02-22,2018,Personal,Unk,Destroyed,,34,0.11764705882352941,88.23529411764706
Neiva,Emb-720D,ERA18WA090,20180227X14649,Airplane,,,4.0,0.0,1.0,0.0,2018-02-22,2018,,,Substantial,,1,4.0,-300.0
Cessna,172,GAA18CA198,20180314X54611,Airplane,Reciprocating,1.0,0.0,0.0,0.0,5.0,2018-02-22,2018,Instructional,VMC,Substantial,,625,0.0,100.0
Cessna,441,CEN18FA107,20180222X31345,Airplane,Turbo Prop,,3.0,0.0,0.0,0.0,2018-02-23,2018,Business,IMC,Destroyed,,12,0.25,75.0
Beech,58,CEN18FA108,20180223X04505,Airplane,Reciprocating,,2.0,0.0,0.0,0.0,2018-02-23,2018,Personal,VMC,Destroyed,,50,0.04,96.0
Stearman,B75,ERA18LA086,20180223X55649,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2018-02-23,2018,Personal,VMC,Substantial,,2,0.0,100.0
Cessna,172,GAA18CA141,20180226X33831,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-23,2018,Instructional,VMC,Substantial,,625,0.0,100.0
Beech,B100,ANC18WA035,20180508X34936,Airplane,Turbo Prop,2.0,0.0,5.0,5.0,0.0,2018-02-23,2018,,,Substantial,,7,0.0,100.0
Aero Commander,Callair A 9,ERA18LA087,20180226X10119,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-02-24,2018,Glider Tow,VMC,Substantial,,2,0.0,100.0
Robinson Helicopter Company,R44,GAA18CA140,20180226X31732,Helicopter,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-02-24,2018,Business,VMC,Substantial,,14,0.0,100.0
Airbus,A330 323,DCA18CA102,20180228X30813,Airplane,Turbo Fan,2.0,0.0,2.0,1.0,295.0,2018-02-24,2018,,VMC,,,3,0.0,100.0
Robinson Helicopter,R44,GAA18CA147,20180301X70512,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-24,2018,Personal,VMC,Substantial,,60,0.0,100.0
Airborne Windsports Pty Ltd,Edge Xt 912 L,ERA18LA089,20180225X92244,Weight-Shift,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-02-25,2018,Personal,VMC,Substantial,,3,0.3333333333333333,66.66666666666667
Costruzioni Aeronautiche Tecna,Astore,GAA18CA142,20180226X01845,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-02-25,2018,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,207,GAA18CA154,20180309X24419,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-25,2018,Positioning,VMC,Substantial,,21,0.0,100.0
Cessna,T210N,WPR18WA123,20180420X73233,Airplane,,,2.0,0.0,0.0,0.0,2018-02-25,2018,,,Destroyed,,19,0.10526315789473684,89.47368421052632
Air Tractor Inc,At-802,ERA18FA088,20180226X95618,Airplane,Turbo Prop,1.0,1.0,0.0,0.0,0.0,2018-02-26,2018,Aerial Application,VMC,Substantial,,2,0.5,50.0
Cirrus Design Corp,Sf50,CEN18WA111,20180301X63457,Airplane,Turbo Fan,1.0,0.0,0.0,0.0,2.0,2018-02-26,2018,Ferry,VMC,Minor,,4,0.0,100.0
Piper,Pa 28,CEN18LA112,20180301X65123,Airplane,Reciprocating,1.0,0.0,0.0,0.0,5.0,2018-02-26,2018,,VMC,Substantial,,22,0.0,100.0
Beech Aircraft,V35B,ERA18WA100,20180313X12047,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-02-27,2018,,,Substantial,,1,1.0,0.0
Quest Aircraft Company Llc,Kodiac 100,ERA18FA092,20180227X14047,Airplane,Turbo Prop,1.0,2.0,0.0,0.0,0.0,2018-02-28,2018,Personal,VMC,Substantial,,3,0.6666666666666666,33.333333333333336
Bell,47G,WPR18CA096,20180228X30115,Helicopter,Reciprocating,1.0,0.0,0.0,1.0,0.0,2018-02-28,2018,Aerial Application,VMC,Substantial,,24,0.0,100.0
Piper,Pa28R,GAA18CA145,20180301X55111,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-28,2018,Instructional,VMC,Substantial,,62,0.0,100.0
Cessna,172,GAA18CA146,20180301X55946,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-02-28,2018,Personal,VMC,Substantial,,625,0.0,100.0
Robinson Helicopter Company,R44 Ii,WPR18WA097,20180302X81813,Helicopter,,1.0,2.0,0.0,0.0,0.0,2018-02-28,2018,,,Destroyed,,117,0.017094017094017096,98.29059829059828
Cessna,182P,CEN18WA133,20180405X02412,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-02-28,2018,,,Minor,,34,0.0,100.0
Airbus,A320,DCA18WA315,20190307X23813,Airplane,,,0.0,0.0,0.0,0.0,2018-02-28,2018,,,Substantial,,70,0.0,100.0
Cessna,172,ERA18LA094,20180304X41553,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2018-03-01,2018,Personal,VMC,Destroyed,,625,0.0032,99.68
Beech,77,CEN18LA114,20180305X14504,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-03-01,2018,Personal,VMC,Substantial,,8,0.0,100.0
Beech,B,GAA18CA149,20180307X84146,Airplane,Reciprocating,2.0,0.0,1.0,0.0,0.0,2018-03-01,2018,Ferry,VMC,Substantial,,1,0.0,100.0
Avro,Rj85,ENG18RA020,20180308X22156,Airplane,Turbo Fan,,0.0,0.0,0.0,0.0,2018-03-01,2018,,,Minor,,1,0.0,100.0
Piper,Pa 32-300,ERA18LA102,20180314X02704,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-01,2018,Personal,VMC,Substantial,,11,0.0,100.0
Piper,Pa28,GAA18CA204,20180304X40258,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-02,2018,Instructional,VMC,Substantial,,256,0.0,100.0
Aero Commander,100-180,CEN18LA113,20180305X05731,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-03-02,2018,Personal,VMC,Substantial,,2,0.0,100.0
Cessna,441,ENG18RA018,20180308X72134,Airplane,,,0.0,0.0,0.0,10.0,2018-03-02,2018,,,,,12,0.0,100.0
Raytheon Aircraft Company,A36,WPR18LA098,20180304X20724,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2018-03-04,2018,Personal,VMC,Substantial,,14,0.0,100.0
Piper,Pa32,GAA18CA184,20180305X54709,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-04,2018,Personal,VMC,Substantial,,55,0.0,100.0
Boeing,737,DCA18WA103,20180308X85451,Airplane,,,0.0,0.0,0.0,0.0,2018-03-04,2018,,,Minor,,395,0.0,100.0
Cessna,206,WPR18WA240,20180824X11708,Airplane,Reciprocating,,0.0,0.0,0.0,3.0,2018-03-04,2018,,,Substantial,,20,0.0,100.0
Robert Snyder,Autogyro Calidus,ERA18LA095,20180305X44855,Gyrocraft,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-03-05,2018,Personal,VMC,Substantial,,1,1.0,0.0
Messerschmitt-Bolkow-Blohm,Bk 117 B-2,CEN18LA115,20180306X93227,Helicopter,Turbo Shaft,2.0,0.0,0.0,0.0,3.0,2018-03-05,2018,,VMC,Substantial,,2,0.0,100.0
Macdonald Craig,Mac Cub,WPR18LA102,20180309X34705,Airplane,Reciprocating,,0.0,0.0,0.0,2.0,2018-03-05,2018,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa 28,ERA18LA096,20180306X14210,Airplane,Reciprocating,1.0,0.0,0.0,2.0,0.0,2018-03-06,2018,Instructional,VMC,Substantial,,22,0.0,100.0
Reilly Charles W,Escapade,ERA18LA097,20180306X82905,Airplane,Reciprocating,1.0,0.0,2.0,0.0,0.0,2018-03-06,2018,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa28R,WPR18LA101,20180307X11433,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-07,2018,Instructional,VMC,Substantial,,62,0.0,100.0
Cessna,172,GAA18CA150,20180307X51506,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-07,2018,Instructional,VMC,Substantial,,625,0.0,100.0
Cirrus Design Corp,Sr20,ERA18LA098,20180307X83504,Airplane,Reciprocating,1.0,0.0,2.0,0.0,0.0,2018-03-07,2018,Personal,IMC,Substantial,,36,0.0,100.0
Cessna,172,GAA18CA151,20180308X83126,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-07,2018,Instructional,VMC,Substantial,,625,0.0,100.0
Cessna,172,GAA18CA160,20180312X54701,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-07,2018,Personal,VMC,Substantial,,625,0.0,100.0
Cessna,150M,CEN18LA177,20180518X22850,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-07,2018,Personal,VMC,Substantial,,30,0.0,100.0
Hughes,369D,CEN18LA121,20180316X50022,Helicopter,Turbo Shaft,,0.0,0.0,1.0,1.0,2018-03-07,2018,External Load,VMC,,,25,0.0,100.0
Piper,Pa 31P,CEN18FA116,20180308X30039,Airplane,Reciprocating,,2.0,0.0,0.0,0.0,2018-03-08,2018,Personal,VMC,Destroyed,,5,0.4,60.0
American Champion Aircraft,8Gcbc,GAA18CA153,20180309X23911,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-08,2018,Personal,VMC,Substantial,,8,0.0,100.0
Bereznak,Lancair Legacy,CEN18LA118,20180311X63322,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2018-03-08,2018,Business,VMC,Destroyed,,1,0.0,100.0
Piper,Pa 32R,GAA18CA152,20180309X21441,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-03-09,2018,Personal,VMC,Substantial,,4,0.0,100.0
Cessna,180,GAA18CA164,20180309X63941,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-09,2018,Personal,VMC,Substantial,,135,0.0,100.0
Beech,76,GAA18CA171,20180321X34223,Airplane,Reciprocating,2.0,0.0,0.0,0.0,2.0,2018-03-09,2018,Instructional,VMC,Substantial,,18,0.0,100.0
Bellanca,1413,GAA18CA165,20180310X50041,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2018-03-10,2018,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa22,GAA18CA181,20180310X75917,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-10,2018,Instructional,VMC,Substantial,,46,0.0,100.0
Hughes,269,GAA18CA159,20180312X11452,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-10,2018,Personal,VMC,Substantial,,3,0.0,100.0
Learjet Inc,31,GAA18CA155,20180312X34739,Airplane,Turbo Jet,2.0,0.0,0.0,0.0,9.0,2018-03-10,2018,Business,VMC,Substantial,,1,0.0,100.0
Czech Sport Aircraft As,Piper Sport,CEN18LA119,20180312X51243,Airplane,Reciprocating,1.0,0.0,0.0,2.0,0.0,2018-03-10,2018,Instructional,VMC,Substantial,,11,0.0,100.0
Piper,Pa 28-180,WPR18LA105,20180310X13022,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2018-03-11,2018,Personal,VMC,Substantial,,30,0.0,100.0
American Eurocopter Corp,As350B2,ERA18MA099,20180311X13013,Helicopter,Turbo Shaft,1.0,5.0,1.0,0.0,0.0,2018-03-11,2018,Other Work Use,VMC,Substantial,,1,5.0,-400.0
Piper,Pa 18-150,WPR18FA104,20180312X03110,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-03-11,2018,Personal,VMC,Destroyed,,57,0.017543859649122806,98.24561403508771
Johnson Gerald,Cr-1,GAA18CA158,20180312X25222,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-03-11,2018,Personal,VMC,Substantial,,1,0.0,100.0
Stinson,108,GAA18CA156,20180312X43551,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-11,2018,Personal,VMC,Substantial,,43,0.0,100.0
Cessna,172,GAA18CA163,20180315X11751,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-11,2018,Personal,VMC,Substantial,,625,0.0,100.0
Canadair,Cl600 2B16,DCA18WA106,20180321X95714,Airplane,,,11.0,0.0,0.0,0.0,2018-03-11,2018,,,Destroyed,,2,5.5,-450.0
Lyons Robert,Navajo Hks,WPR18LA109,20180322X11928,Weight-Shift,Reciprocating,,0.0,1.0,0.0,0.0,2018-03-11,2018,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,182,GAA18CA157,20180312X50933,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-12,2018,Personal,VMC,Substantial,,232,0.0,100.0
Cessna,172,GAA18CA161,20180312X85545,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-12,2018,Personal,VMC,Substantial,,625,0.0,100.0
Cessna,140,GAA18CA166,20180319X40055,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-12,2018,Personal,VMC,Substantial,,76,0.0,100.0
Cessna,152,GAA18CA177,20180324X71157,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-12,2018,Personal,VMC,Substantial,,166,0.0,100.0
Piper,Pa28,ERA18LA101,20180313X71359,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-13,2018,Personal,VMC,Substantial,,256,0.0,100.0
Aeropro Cz,Eurofox Lsa,GAA18CA162,20180313X71951,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2018-03-13,2018,Personal,VMC,Substantial,,3,0.0,100.0
Cessna,T210,ERA18LA103,20180313X72120,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-13,2018,Flight Test,VMC,Substantial,,40,0.0,100.0
Piper,Pa28,GAA18CA197,20180314X45449,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-14,2018,Personal,VMC,Substantial,,256,0.0,100.0
White,Thorpe T 18,CEN18LA124,20180319X10521,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2018-03-14,2018,Personal,VMC,Substantial,,1,0.0,100.0
Hughes,269,GAA18CA168,20180319X42625,Helicopter,Reciprocating,1.0,0.0,2.0,0.0,0.0,2018-03-14,2018,Personal,VMC,Substantial,,3,0.0,100.0
Cessna,177,ERA18LA107,20180315X43344,Airplane,Reciprocating,1.0,0.0,1.0,0.0,2.0,2018-03-15,2018,Personal,VMC,Substantial,,47,0.0,100.0
Cirrus Design Corp,Sr20,ERA18LA109,20180316X23843,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2018-03-16,2018,Instructional,VMC,Substantial,,36,0.0,100.0
Cubcrafters Inc,Cc11-160,GAA18CA169,20180316X61620,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-16,2018,Personal,VMC,Substantial,,17,0.0,100.0
Cessna,210,ERA18LA111,20180316X61709,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-16,2018,Aerial Observation,VMC,Substantial,,70,0.0,100.0
Beech,C99,GAA18CA167,20180319X41043,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,2.0,2018-03-16,2018,,VMC,Substantial,,1,0.0,100.0
Besarick,Skybolt,ERA18LA110,20180318X80848,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-03-17,2018,Personal,VMC,Destroyed,,1,0.0,100.0
Cubcrafters Inc,Cc11-160,WPR18LA107,20180318X34350,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2018-03-18,2018,Personal,VMC,Substantial,,17,0.0,100.0
American Champion Aircraft,7Gcbc,GAA18CA176,20180319X61043,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-18,2018,Instructional,VMC,Substantial,,9,0.0,100.0
Cessna,172,GAA18CA170,20180320X50334,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-19,2018,Personal,VMC,Substantial,,625,0.0,100.0
Robinson,R22,WPR18WA115,20180330X15040,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-19,2018,,,Substantial,,74,0.0,100.0
Lithuanian Factory Of Aviation,Lak 12,GAA18CA172,20180321X04722,Glider,,0.0,0.0,0.0,0.0,1.0,2018-03-20,2018,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,182,GAA18CA173,20180322X20406,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-20,2018,Personal,VMC,Substantial,,232,0.0,100.0
Pflugradt,Kitfox,WPR18LA111,20180323X80752,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-20,2018,Personal,VMC,Substantial,,1,0.0,100.0
Cub Crafters,Pa18 150,CEN18LA125,20180322X14941,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2018-03-21,2018,Personal,VMC,Substantial,,1,0.0,100.0
Eurocopter,Ec120,WPR18WA110,20180322X32109,Helicopter,Turbo Shaft,1.0,2.0,2.0,0.0,1.0,2018-03-21,2018,,,Substantial,,4,0.5,50.0
Gulfstream Aerospace,G V,ERA18LA112,20180322X42204,Airplane,Turbo Fan,2.0,0.0,2.0,1.0,5.0,2018-03-21,2018,Business,IMC,,,1,0.0,100.0
Dehavilland,Dhc 6 Twin Otter,ANC18LA027,20180322X70555,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,5.0,2018-03-21,2018,,VMC,Substantial,,4,0.0,100.0
Rans Inc,S-16 Shekari,CEN18FA126,20180323X80643,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2018-03-21,2018,Personal,VMC,Substantial,,1,1.0,0.0
Piper,Pa24,GAA18CA195,20180402X10600,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-21,2018,Instructional,VMC,Substantial,,36,0.0,100.0
Mills Michael,S1L,CEN18LA123,20180319X90457,Airplane,,,1.0,0.0,0.0,0.0,2018-03-22,2018,Personal,VMC,Substantial,,1,1.0,0.0
Cessna,310R,CEN18LA128,20180327X15528,Airplane,Reciprocating,2.0,0.0,0.0,0.0,2.0,2018-03-22,2018,Personal,VMC,Substantial,,13,0.0,100.0
Flightworks Corp,Capella Xs Fw2C80Td,GAA18CA178,20180323X13524,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-23,2018,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,172,GAA18CA175,20180323X23446,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2018-03-23,2018,Instructional,VMC,Substantial,,625,0.0,100.0
Cessna,180K,ERA18LA115,20180323X42038,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-23,2018,Personal,VMC,Substantial,,7,0.0,100.0
Fairchild Funk,M62C F 23A,ERA18LA113,20180323X75727,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-23,2018,Positioning,VMC,Substantial,,1,0.0,100.0
Robinson Helicopter,R22,GAA18CA229,20180424X95146,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,2.0,2018-03-23,2018,Instructional,VMC,Substantial,,21,0.0,100.0
Lindstrand Balloons,105A,ERA18LA116,20180324X95533,Balloon,,,0.0,3.0,0.0,0.0,2018-03-24,2018,Aerial Observation,VMC,Substantial,,1,0.0,100.0
Maule,M 7-235,CEN18WA130,20180329X93928,Airplane,,,2.0,0.0,0.0,0.0,2018-03-24,2018,Unknown,Unk,Substantial,,2,1.0,0.0
Mx Aircraft Llc,Mxs,CEN18LA127,20180326X24908,Airplane,Reciprocating,,0.0,1.0,0.0,0.0,2018-03-25,2018,Personal,VMC,Substantial,,2,0.0,100.0
Rotorway,Exec,CEN18WA135,20180405X63311,Helicopter,,1.0,0.0,0.0,0.0,2.0,2018-03-25,2018,,,Substantial,,6,0.0,100.0
Beech,V35,ERA18FA114,20180326X01910,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2018-03-26,2018,Personal,IMC,Destroyed,,22,0.09090909090909091,90.9090909090909
Lynn Perry,Cavalon,GAA18CA179,20180326X21650,Gyrocraft,Reciprocating,1.0,0.0,0.0,0.0,1.0,2018-03-26,2018,Personal,VMC,Substantial,,1,0.0,100.0
